sample_id	lake_id	upperpt	lowerpt	midpt	midpt_year	upperpt_year	lowerpt_year	epilimnion_temp	metalimnion_temp	hypolimnion_temp	sdd	epilimnion_tn	epilimnion_tp	epilimnion_ph	epilimnion_oxygen	profundal_tn	profundal_tp	profundal_ph	profundal_oxygen	meanairtemp	precip_eccc	maxairtemp	minairtemp	precip_ela	ice_duration
L226N_5.5-6cm	L226N	5.5	6	5.75	1973.61715479907	1975.45302445431	1971.77371747014	13.033333333333333	9.233333333333333	5.266666666666667	2.966666666666667	0.43333333333333335	15.3	6.833333333333334	9.433333333333334	0.5666666666666667	20.966666666666665	6.433333333333334	5.7	1.8	641.3333333333334	6.7	-2.966666666666667	716.3333333333334	172.33333333333334
L226N_6-6.5cm	L226N	6	6.5	6.25	1969.92022560148	1971.77371747014	1968.05419232705	13.6	9.7	5.5	5.1	0.3	11.6	6.8	9.1	0.3	16.4	6.5	6.3	1.9249999999999998	758.5	6.7	-2.6500000000000004	890	174
L226N_6.5-7cm	L226N	6.5	7	6.75	1966.17313078081	1968.05419232705	1964.27455409673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	686.25	NA	NA	NA	NA
L226N_7-7.5cm	L226N	7	7.5	7.25	1962.35597540875	1964.27455409673	1960.4149078508501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.525	629	NA	NA	NA	NA
L226N_7.5-8cm	L226N	7.5	8	7.75	1958.44886455699	1960.4149078508501	1956.45535866111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9500000000000002	580.25	NA	NA	NA	NA
L226N_8-8.5cm	L226N	8	8.5	8.25	1954.4319032972	1956.45535866111	1952.3760115992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.625	550.5	NA	NA	NA	NA
L226N_8.5-9cm	L226N	8.5	9	8.75	1950.28519670108	1952.3760115992	1948.1569717368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3	577.25	NA	NA	NA	NA
L226N_9-9.5cm	L226N	9	9.5	9.25	1945.98884984032	1948.1569717368	1943.7783441456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.225	701.25	NA	NA	NA	NA
L226N_9.5-10cm	L226N	9.5	10	9.75	1941.5229677866	1943.7783441456	1939.22023389729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.64	676	NA	NA	NA	NA
L226N_10-10.5cm	L226N	10	10.5	10.25	1936.86765561161	1939.22023389729	1934.46274606355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.24	599.4	NA	NA	NA	NA
L226N_10.5-11cm	L226N	10.5	11	10.75	1932.00301838704	1934.46274606355	1929.48598571607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	576	NA	NA	NA	NA
L226N_11-11.5cm	L226N	11	11.5	11.25	1926.90916118458	1929.48598571607	1924.27005792653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8	660.6	NA	NA	NA	NA
L226N_11.5-12cm	L226N	11.5	12	11.75	1921.5661890759	1924.27005792653	1918.79506776664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	699	NA	NA	NA	NA
L226N_12-12.5cm	L226N	12	12.5	12.25	1915.9542071327	1918.79506776664	1913.04112030806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8666666666666667	555.3333333333334	NA	NA	NA	NA
L226N_12.5-13cm	L226N	12.5	13	12.75	1910.05332042667	1913.04112030806	1906.98832062249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8666666666666667	513.5	NA	NA	NA	NA
L226N_13-13.5cm	L226N	13	13.5	13.25	1903.84363402949	1906.98832062249	1900.61677378163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.35	583	NA	NA	NA	NA
L226N_13.5-14cm	L226N	13.5	14	13.75	1897.30525301285	1900.61677378163	1893.90658485714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	707	NA	NA	NA	NA
L226N_14-14.5cm	L226N	14	14.5	14.25	1890.41828244844	1893.90658485714	1886.83785892073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L226N_14.5-15cm	L226N	14.5	15	14.75	1883.16282740795	1886.83785892073	1879.39070104407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L226S_0-0.5cm	L226S	0	0.5	0.25	2015.99230062787	2018	2012.66224781152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.96	830.2	7.8	-1.46	799.6	155.2
L226S_0.5-1cm	L226S	0.5	1	0.75	2009.41157850366	2012.66224781152	2006.23614318386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.685714285714286	744.2857142857143	8.642857142857142	-0.9142857142857143	754.5714285714286	149.42857142857142
L226S_1-1.5cm	L226S	1	1.5	1.25	2003.1317923317	2006.23614318386	2000.09437642673	15.7	10.45	5.475	3.175	0.4	7.775	6.775	NA	NA	NA	NA	NA	3.3166666666666664	785.5	8.116666666666667	-1.8333333333333333	776.6666666666666	154.83333333333334
L226S_1.5-2cm	L226S	1.5	2	1.75	1997.11974594852	2000.09437642673	1994.20375137665	15.516666666666667	10.183333333333334	5.916666666666667	3.15	0.3	7.633333333333334	6.816666666666666	8.92	0.44	13.16	6.48	6.8	3.083333333333333	755.1666666666666	8.033333333333333	-1.7833333333333332	748	166.5
L226S_2-2.5cm	L226S	2	2.5	2.25	1991.34224319067	1994.20375137665	1988.53107187016	13.459999999999999	8.9	5.44	3.44	0.36	8.3	6.82	9.24	0.54	17.08	6.34	7.32	2.54	704.4	7.38	-2.48	674.4	167.4
L226S_2.5-3cm	L226S	2.5	3	2.75	1985.76608789468	1988.53107187016	1983.04314174379	14.133333333333333	9.133333333333333	5.583333333333333	3.4	0.4166666666666667	9.416666666666668	6.883333333333334	9.566666666666666	0.65	18.3	6.5	6.9	3.3666666666666667	577.8333333333334	7.666666666666666	-1.0833333333333335	633.5	154.16666666666666
L226S_3-3.5cm	L226S	3	3.5	3.25	1980.35808389708	1983.04314174379	1977.7067648341001	14.18	9.36	5.54	3.12	0.5	9.040000000000001	6.96	9.440000000000001	0.9600000000000001	20.8	6.64	5.34	2.16	590.6	6.66	-2.34	620	164
L226S_3.5-4cm	L226S	3.5	4	3.75	1975.08503503442	1977.7067648341001	1972.48874497761	13.879999999999999	9.84	6.1	3.2399999999999998	0.48	9.84	6.78	9.86	0.66	15.7	6.52	6.88	2.216666666666667	615.6666666666666	6.95	-2.7333333333333334	701.5	168.66666666666666
